wals code	name	value	description	latitude	longitude	genus	family	area
bqb	Basque (Bidasoa Valley)	5	No rhythmic stress	43.0	-3.83333333333	Basque	Basque	Phonology
bqg	Basque (Gernica)	5	No rhythmic stress	43.3333333333	-3.0	Basque	Basque	Phonology
bqh	Basque (Hondarribia)	5	No rhythmic stress	42.5	-3.0	Basque	Basque	Phonology
bql	Basque (Lekeitio)	5	No rhythmic stress	43.0	-2.5	Basque	Basque	Phonology
bqn	Basque (Northern High Navarrese)	5	No rhythmic stress	43.3333333333	-2.5	Basque	Basque	Phonology
bqo	Basque (Oñati)	5	No rhythmic stress	42.5	-3.5	Basque	Basque	Phonology
bqr	Basque (Roncalese)	5	No rhythmic stress	43.0	-2.0	Basque	Basque	Phonology
bqs	Basque (Sakana)	4	Undetermined	42.5	-2.0	Basque	Basque	Phonology
bso	Basque (Souletin)	5	No rhythmic stress	43.5	-1.5	Basque	Basque	Phonology
bqz	Basque (Zeberio)	5	No rhythmic stress	42.0	-3.0	Basque	Basque	Phonology
bto	Batak (Toba)	1	Trochaic	2.5	99.0	Northwest Sumatra-Barrier Islands	Austronesian	Phonology
ben	Bengali	5	No rhythmic stress	24.0	90.0	Indic	Indo-European	Phonology
bho	Bhojpuri	4	Undetermined	26.0	84.0	Indic	Indo-European	Phonology
bkl	Bikol	1	Trochaic	13.3333333333	123.5	Greater Central Philippine	Austronesian	Phonology
bbw	Bininj Gun-Wok	5	No rhythmic stress	-12.5	133.75	Marne	Gunwinyguan	Phonology
bua	Burarra	5	No rhythmic stress	-12.25	134.583333333	Burarran	Mangrida	Phonology
bur	Burushaski	1	Trochaic	36.5	74.5	Burushaski	Burushaski	Phonology
cah	Cahuilla	1	Trochaic	33.5	-116.25	Northern Uto-Aztecan	Uto-Aztecan	Phonology
cap	Capanahua	1	Trochaic	-7.0	-74.0	Panoan	Pano-Tacanan	Phonology
ctl	Catalan	5	No rhythmic stress	41.75	2.0	Romance	Indo-European	Phonology
cav	Cavineña	1	Trochaic	-13.3333333333	-66.5	Tacanan	Pano-Tacanan	Phonology
cyg	Cayuga	2	Iambic	42.75	-76.75	Northern Iroquoian	Iroquoian	Phonology
cyv	Cayuvava	1	Trochaic	-13.5	-65.5	Cayuvava	Cayuvava	Phonology
ceb	Cebuano	2	Iambic	10.0	124.0	Greater Central Philippine	Austronesian	Phonology
cha	Chamorro	4	Undetermined	13.45	144.75	Chamorro	Austronesian	Phonology
cya	Chatino (Yaitepec)	5	No rhythmic stress	16.25	-97.25	Zapotecan	Oto-Manguean	Phonology
cct	Choctaw	2	Iambic	32.25	-88.5	Muskogean	Muskogean	Phonology
chv	Chuvash	5	No rhythmic stress	55.5	47.5	Turkic	Altaic	Phonology
cmn	Comanche	1	Trochaic	33.5	-101.5	Northern Uto-Aztecan	Uto-Aztecan	Phonology
coo	Coos (Hanis)	5	No rhythmic stress	43.5	-124.166666667	Coosan	Oregon Coast	Phonology
crn	Cornish	1	Trochaic	50.3333333333	-5.0	Celtic	Indo-European	Phonology
cre	Cree (Plains)	1	Trochaic	54.0	-110.0	Algonquian	Algic	Phonology
crk	Creek	2	Iambic	34.0	-85.0	Muskogean	Muskogean	Phonology
cub	Cubeo	5	No rhythmic stress	1.33333333333	-70.5	Tucanoan	Tucanoan	Phonology
cze	Czech	1	Trochaic	50.0	15.0	Slavic	Indo-European	Phonology
dak	Dakota	5	No rhythmic stress	45.0	-93.5	Mississippi Valley Siouan	Siouan	Phonology
dni	Dani (Lower Grand Valley)	1	Trochaic	-4.33333333333	138.833333333	Dani	Trans-New Guinea	Phonology
dri	Dari	1	Trochaic	35.0	66.0	Iranian	Indo-European	Phonology
dhw	Dharawal	5	No rhythmic stress	-34.5	150.5	Southeastern Pama-Nyungan	Pama-Nyungan	Phonology
dhu	Dhurga	5	No rhythmic stress	-35.6666666667	150.0	Southeastern Pama-Nyungan	Pama-Nyungan	Phonology
die	Diegueño (Mesa Grande)	4	Undetermined	32.6666666667	-116.166666667	Yuman	Hokan	Phonology
diy	Diyari	1	Trochaic	-28.0	139.0	Central Pama-Nyungan	Pama-Nyungan	Phonology
djr	Djaru	5	No rhythmic stress	-18.75	128.0	Western Pama-Nyungan	Pama-Nyungan	Phonology
dji	Djingili	1	Trochaic	-17.75	134.0	Djingili	Mirndi	Phonology
dob	Dobel	5	No rhythmic stress	-6.25	134.666666667	Central Malayo-Polynesian	Austronesian	Phonology
dou	Doutai	5	No rhythmic stress	-3.33333333333	138.166666667	East Tariku	Lakes Plain	Phonology
dre	Drehu	1	Trochaic	-21.0	167.25	Oceanic	Austronesian	Phonology
dut	Dutch	1	Trochaic	52.5	6.0	Germanic	Indo-European	Phonology
dyi	Dyirbal	1	Trochaic	-17.8333333333	145.583333333	Northern Pama-Nyungan	Pama-Nyungan	Phonology
eka	Ekari	5	No rhythmic stress	-3.83333333333	135.5	Paniai Lakes	Trans-New Guinea	Phonology
eng	English	1	Trochaic	52.0	0.0	Germanic	Indo-European	Phonology
ese	Ese Ejja	1	Trochaic	-11.0	-66.0	Tacanan	Pano-Tacanan	Phonology
est	Estonian	1	Trochaic	59.0	26.0	Finnic	Uralic	Phonology
eve	Evenki	2	Iambic	56.0	125.0	Tungusic	Altaic	Phonology
far	Faroese	4	Undetermined	62.0	-7.0	Germanic	Indo-European	Phonology
fij	Fijian	1	Trochaic	-17.8333333333	178.0	Oceanic	Austronesian	Phonology
fin	Finnish	1	Trochaic	62.0	25.0	Finnic	Uralic	Phonology
for	Fore	5	No rhythmic stress	-6.75	145.5	Fore-Gimi	Trans-New Guinea	Phonology
fre	French	4	Undetermined	48.0	2.0	Romance	Indo-European	Phonology
glp	Gaalpu	4	Undetermined	-12.6666666667	136.75	Western Pama-Nyungan	Pama-Nyungan	Phonology
gae	Gaelic (Scots)	4	Undetermined	57.0	-4.0	Celtic	Indo-European	Phonology
gll	Galela	5	No rhythmic stress	2.41666666667	128.333333333	North Halmaheran	North Halmaheran	Phonology
grr	Garrwa	1	Trochaic	-17.0833333333	137.166666667	Garrwan	Garrwan	Phonology
gay	Gayo	1	Trochaic	4.5	97.5	Northwest Sumatra-Barrier Islands	Austronesian	Phonology
geo	Georgian	1	Trochaic	42.0	44.0	Kartvelian	Kartvelian	Phonology
ger	German	1	Trochaic	52.0	10.0	Germanic	Indo-European	Phonology
gid	Gidabal	4	Undetermined	-28.4166666667	152.416666667	Southeastern Pama-Nyungan	Pama-Nyungan	Phonology
god	Godoberi	5	No rhythmic stress	42.6666666667	46.0833333333	Avar-Andic-Tsezic	Nakh-Daghestanian	Phonology
goo	Gooniyandi	1	Trochaic	-18.3333333333	126.333333333	Bunuban	Bunuban	Phonology
gor	Gorowa	5	No rhythmic stress	-4.5	36.5	Southern Cushitic	Afro-Asiatic	Phonology
grb	Grebo	5	No rhythmic stress	5.0	-8.0	Kru	Niger-Congo	Phonology
grk	Greek (Modern)	1	Trochaic	39.0	22.0	Greek	Indo-European	Phonology
grw	Greenlandic (West)	4	Undetermined	64.0	-51.0	Eskimo	Eskimo-Aleut	Phonology
gug	Gugada	1	Trochaic	-30.0	134.0	Western Pama-Nyungan	Pama-Nyungan	Phonology
guu	Guugu Yimidhirr	1	Trochaic	-15.0	144.833333333	Northern Pama-Nyungan	Pama-Nyungan	Phonology
hno	Haida (Northern)	2	Iambic	54.0	-132.5	Haida	Haida	Phonology
hnn	Hanunóo	4	Undetermined	12.3333333333	121.25	Greater Central Philippine	Austronesian	Phonology
haw	Hawaiian	1	Trochaic	19.5833333333	-155.5	Oceanic	Austronesian	Phonology
heb	Hebrew (Modern)	1	Trochaic	31.5	34.8333333333	Semitic	Afro-Asiatic	Phonology
hix	Hixkaryana	2	Iambic	-1.0	-59.0	Cariban	Cariban	Phonology
hop	Hopi	4	Undetermined	36.0	-110.0	Northern Uto-Aztecan	Uto-Aztecan	Phonology
htc	Huastec	5	No rhythmic stress	22.0833333333	-99.3333333333	Mayan	Mayan	Phonology
hun	Hungarian	1	Trochaic	47.0	20.0	Ugric	Uralic	Phonology
iaa	Iaai	1	Trochaic	-20.4166666667	166.583333333	Oceanic	Austronesian	Phonology
ice	Icelandic	1	Trochaic	65.0	-17.0	Germanic	Indo-European	Phonology
ind	Indonesian	1	Trochaic	0.0	106.0	Malayo-Sumbawan	Austronesian	Phonology
iga	Inga	1	Trochaic	1.0	-77.0	Quechuan	Quechuan	Phonology
irq	Iraqw	5	No rhythmic stress	-4.0	35.5	Southern Cushitic	Afro-Asiatic	Phonology
irr	Irarutu	5	No rhythmic stress	-3.0	133.5	South Halmahera - West New Guinea	Austronesian	Phonology
iri	Irish	4	Undetermined	53.0	-8.0	Celtic	Indo-European	Phonology
ita	Italian	4	Undetermined	43.0	12.0	Romance	Indo-European	Phonology
jaq	Jaqaru	1	Trochaic	-13.0	-76.0	Aymaran	Aymaran	Phonology
jav	Javanese	4	Undetermined	-7.0	111.0	Javanese	Austronesian	Phonology
kal	Kalami	5	No rhythmic stress	35.5	72.5	Indic	Indo-European	Phonology
kgu	Kalkatungu	1	Trochaic	-21.0	139.5	Northern Pama-Nyungan	Pama-Nyungan	Phonology
kra	Kara (in Papua New Guinea)	4	Undetermined	-2.83333333333	151.116666667	Oceanic	Austronesian	Phonology
krl	Karelian	1	Trochaic	64.0	32.0	Finnic	Uralic	Phonology
kaj	Kaure	1	Trochaic	-3.41666666667	140.083333333	Kaure	Kaure	Phonology
kay	Kayardild	1	Trochaic	-17.05	139.5	Tangkic	Tangkic	Phonology
kei	Kei	1	Trochaic	-5.83333333333	132.916666667	Central Malayo-Polynesian	Austronesian	Phonology
ker	Kera	5	No rhythmic stress	9.83333333333	15.0833333333	East Chadic	Afro-Asiatic	Phonology
ktn	Ketengban	5	No rhythmic stress	-4.5	140.5	Mek	Trans-New Guinea	Phonology
kew	Kewa	5	No rhythmic stress	-6.5	143.833333333	Enga_Kewa-Huli	Trans-New Guinea	Phonology
kha	Khalkha	5	No rhythmic stress	47.0	105.0	Mongolic	Altaic	Phonology
khm	Khmer	4	Undetermined	12.5	105.0	Khmer	Austro-Asiatic	Phonology
ksr	Kisar	1	Trochaic	-8.08333333333	127.116666667	Central Malayo-Polynesian	Austronesian	Phonology
klm	Klamath	1	Trochaic	42.5	-121.5	Klamath-Modoc	Penutian	Phonology
kob	Kobon	5	No rhythmic stress	-5.16666666667	144.333333333	Kalam-Kobon	Trans-New Guinea	Phonology
kop	Komi-Permyak	5	No rhythmic stress	59.5	54.5	Permic	Uralic	Phonology
kon	Kongo	1	Trochaic	-5.0	15.0	Bantu	Niger-Congo	Phonology
kjo	Konjo	1	Trochaic	-5.46666666667	120.333333333	South Sulawesi	Austronesian	Phonology
kfe	Koromfe	5	No rhythmic stress	14.25	-0.916666666667	Koromfe	Niger-Congo	Phonology
koy	Koya	4	Undetermined	17.5	81.3333333333	Dravidian	Dravidian	Phonology
kro	Krongo	4	Undetermined	10.5	30.0	Kadugli	Kadu	Phonology
kya	Kuku-Yalanji	1	Trochaic	-16.0	145.0	Northern Pama-Nyungan	Pama-Nyungan	Phonology
knm	Kunama	4	Undetermined	14.5	37.0	Kunama	Kunama	Phonology
kut	Kutenai	1	Trochaic	49.5	-116.0	Kutenai	Kutenai	Phonology
kuu	Kuuku Ya'u	1	Trochaic	-12.5833333333	143.083333333	Northern Pama-Nyungan	Pama-Nyungan	Phonology
lar	Laragia	1	Trochaic	-12.6666666667	130.833333333	Laragiya	Darwin Region	Phonology
lrk	Larike	3	Dual: both trochaic and iambic	-3.75	127.916666667	Central Malayo-Polynesian	Austronesian	Phonology
lat	Latvian	5	No rhythmic stress	57.0	24.0	Baltic	Indo-European	Phonology
lav	Lavukaleve	1	Trochaic	-9.08333333333	159.2	Lavukaleve	Solomons East Papuan	Phonology
len	Lenakel	1	Trochaic	-19.45	169.25	Oceanic	Austronesian	Phonology
let	Leti	1	Trochaic	-8.2	127.666666667	Central Malayo-Polynesian	Austronesian	Phonology
lit	Lithuanian	4	Undetermined	55.0	24.0	Baltic	Indo-European	Phonology
liv	Liv	1	Trochaic	56.8333333333	24.0	Finnic	Uralic	Phonology
ara	Lokono	1	Trochaic	5.5	-55.1666666667	Antillean Arawakan	Arawakan	Phonology
luv	Luvale	1	Trochaic	-12.0	22.0	Bantu	Niger-Congo	Phonology
mcd	Macedonian	5	No rhythmic stress	41.6666666667	21.75	Slavic	Indo-European	Phonology
mac	Macushi	2	Iambic	4.0	-60.0	Cariban	Cariban	Phonology
mdm	Madimadi	1	Trochaic	-34.5	143.5	Southeastern Pama-Nyungan	Pama-Nyungan	Phonology
mne	Maidu (Northeast)	1	Trochaic	40.0	-120.666666667	Maiduan	Penutian	Phonology
mrs	Mairasi	1	Trochaic	-3.5	134.0	Mairasic	Mairasic	Phonology
mai	Maithili	1	Trochaic	26.0	86.0	Indic	Indo-European	Phonology
mlc	Malacca Creole	1	Trochaic	2.2	102.25	Creoles and Pidgins	other	Phonology
mal	Malagasy	5	No rhythmic stress	-20.0	47.0	Barito	Austronesian	Phonology
mlk	Malakmalak	1	Trochaic	-13.4166666667	130.416666667	Northern Daly	Northern Daly	Phonology
mym	Malayalam	4	Undetermined	10.0	76.5	Dravidian	Dravidian	Phonology
mlt	Maltese	4	Undetermined	35.9166666667	14.4166666667	Semitic	Afro-Asiatic	Phonology
mnm	Manam	1	Trochaic	-4.0	145.0	Oceanic	Austronesian	Phonology
myi	Mangarrayi	1	Trochaic	-14.6666666667	133.5	Mangarrayi	Mangarrayi-Maran	Phonology
mns	Mansi	1	Trochaic	62.0	62.0	Ugric	Uralic	Phonology
mnj	Mantjiltjara	1	Trochaic	-22.6666666667	125.083333333	Western Pama-Nyungan	Pama-Nyungan	Phonology
map	Mapudungun	2	Iambic	-38.0	-72.0	Araucanian	Araucanian	Phonology
mku	Maranungku	1	Trochaic	-13.6666666667	130.0	Wagaydy	Western Daly	Phonology
mny	Margany	1	Trochaic	-27.0	144.5	Northern Pama-Nyungan	Pama-Nyungan	Phonology
mah	Mari (Hill)	5	No rhythmic stress	57.0	58.0	Mari	Uralic	Phonology
mme	Mari (Meadow)	5	No rhythmic stress	57.0	48.0	Mari	Uralic	Phonology
mar	Maricopa	5	No rhythmic stress	33.1666666667	-113.166666667	Yuman	Hokan	Phonology
mrd	Marind	2	Iambic	-7.83333333333	140.166666667	Marind-Yaqay	Trans-New Guinea	Phonology
mrt	Martuthunira	1	Trochaic	-20.8333333333	116.5	Western Pama-Nyungan	Pama-Nyungan	Phonology
mau	Maung	1	Trochaic	-11.9166666667	133.5	Iwaidjan	Iwaidjan	Phonology
may	Maybrat	1	Trochaic	-1.33333333333	132.5	Maybrat	Maybrat	Phonology
myy	Mayi-Yapi	1	Trochaic	-20.0	141.0	Northern Pama-Nyungan	Pama-Nyungan	Phonology
men	Menomini	2	Iambic	45.5	-88.3333333333	Algonquian	Algic	Phonology
mta	Mentuh Tapuh	1	Trochaic	1.25	111.0	Land Dayak	Austronesian	Phonology
mea	Meyah	5	No rhythmic stress	-1.16666666667	133.5	East Bird's Head	East Bird's Head	Phonology
mwn	Miwok (Northern Sierra)	2	Iambic	38.3333333333	-120.666666667	Miwok	Penutian	Phonology
mss	Miwok (Southern Sierra)	1	Trochaic	37.5	-120.0	Miwok	Penutian	Phonology
moh	Mohawk	5	No rhythmic stress	43.5	-74.25	Northern Iroquoian	Iroquoian	Phonology
mmo	Mordvin (Moksha)	5	No rhythmic stress	54.0	44.0	Mordvin	Uralic	Phonology
mna	Muna	1	Trochaic	-5.0	122.5	Celebic	Austronesian	Phonology
mse	Munsee	2	Iambic	41.5	-74.6666666667	Algonquian	Algic	Phonology
mrw	Muruwari	1	Trochaic	-28.75	147.0	Southeastern Pama-Nyungan	Pama-Nyungan	Phonology
nbb	Nambas (Big)	2	Iambic	-16.0833333333	167.2	Oceanic	Austronesian	Phonology
ntu	Nenets	1	Trochaic	70.0	76.0	Samoyedic	Uralic	Phonology
nne	Nengone	1	Trochaic	-21.5	168.0	Oceanic	Austronesian	Phonology
ngl	Ngalakan	1	Trochaic	-14.25	134.0	Eastern Gunwinyguan	Gunwinyguan	Phonology
nkb	Ngalkbun	1	Trochaic	-13.5	134.833333333	Marne	Gunwinyguan	Phonology
ngr	Ngarinyeri	1	Trochaic	-36.0	140.0	Southeastern Pama-Nyungan	Pama-Nyungan	Phonology
ngi	Ngiyambaa	1	Trochaic	-31.75	145.5	Southeastern Pama-Nyungan	Pama-Nyungan	Phonology
nin	Ningil	1	Trochaic	-3.5	142.25	East Wapei	Torricelli	Phonology
nor	Norwegian	4	Undetermined	61.0	8.0	Germanic	Indo-European	Phonology
nua	Nuaulu	1	Trochaic	-3.25	129.166666667	Central Malayo-Polynesian	Austronesian	Phonology
nbd	Nubian (Dongolese)	4	Undetermined	18.25	30.75	Nubian	Eastern Sudanic	Phonology
nug	Nunggubuyu	1	Trochaic	-13.75	135.666666667	Nunggubuyu	Gunwinyguan	Phonology
nbo	Nyambo	5	No rhythmic stress	-1.0	31.3333333333	Bantu	Niger-Congo	Phonology
nya	Nyawaygi	1	Trochaic	-19.0	146.166666667	Northern Pama-Nyungan	Pama-Nyungan	Phonology
nju	Nyungar	1	Trochaic	-33.75	122.0	Western Pama-Nyungan	Pama-Nyungan	Phonology
obk	Obokuitai	5	No rhythmic stress	-3.0	138.0	East Tariku	Lakes Plain	Phonology
olm	Oloh Mangtangai	5	No rhythmic stress	-0.833333333333	113.0	Barito	Austronesian	Phonology
ond	Oneida	5	No rhythmic stress	43.0	-75.6666666667	Northern Iroquoian	Iroquoian	Phonology
ono	Ono	1	Trochaic	-6.16666666667	147.583333333	Huon	Trans-New Guinea	Phonology
oss	Ossetic	5	No rhythmic stress	43.0	44.0	Iranian	Indo-European	Phonology
pkn	Paakantyi	1	Trochaic	-32.5	142.5	Central Pama-Nyungan	Pama-Nyungan	Phonology
put	Paiute (Southern)	2	Iambic	37.8333333333	-113.333333333	Northern Uto-Aztecan	Uto-Aztecan	Phonology
pai	Paiwan	5	No rhythmic stress	22.5	120.833333333	Paiwan	Austronesian	Phonology
psh	Pashto	5	No rhythmic stress	33.0	67.0	Iranian	Indo-European	Phonology
psm	Passamaquoddy-Maliseet	2	Iambic	45.0	-67.0	Algonquian	Algic	Phonology
pin	Pintupi	1	Trochaic	-23.0	129.0	Western Pama-Nyungan	Pama-Nyungan	Phonology
pir	Piro	1	Trochaic	-11.0	-73.5	Purus	Arawakan	Phonology
pit	Pitjantjatjara	1	Trochaic	-26.0	130.0	Western Pama-Nyungan	Pama-Nyungan	Phonology
ppi	Pitta Pitta	1	Trochaic	-22.8333333333	140.0	Central Pama-Nyungan	Pama-Nyungan	Phonology
pkm	Pokomchí	5	No rhythmic stress	15.4166666667	-90.5	Mayan	Mayan	Phonology
pol	Polish	1	Trochaic	52.0	20.0	Slavic	Indo-European	Phonology
pme	Pomo (Eastern)	2	Iambic	39.0	-122.666666667	Pomoan	Hokan	Phonology
pul	Puluwat	4	Undetermined	7.33333333333	149.333333333	Oceanic	Austronesian	Phonology
que	Quechan	5	No rhythmic stress	32.8333333333	-114.333333333	Yuman	Hokan	Phonology
ram	Rama	1	Trochaic	11.75	-83.75	Rama	Chibchan	Phonology
rap	Rapanui	4	Undetermined	-27.1166666667	-109.366666667	Oceanic	Austronesian	Phonology
rit	Ritharngu	5	No rhythmic stress	-12.8333333333	135.5	Western Pama-Nyungan	Pama-Nyungan	Phonology
rti	Roti	1	Trochaic	-10.6666666667	123.25	Central Malayo-Polynesian	Austronesian	Phonology
rot	Rotuman	5	No rhythmic stress	-12.5	177.066666667	Oceanic	Austronesian	Phonology
rus	Russian	5	No rhythmic stress	56.0	38.0	Slavic	Indo-European	Phonology
sno	Saami (Northern)	1	Trochaic	69.0	24.0	Saami	Uralic	Phonology
snm	Sanuma	1	Trochaic	4.5	-64.6666666667	Yanomam	Yanomam	Phonology
swi	Sawai	5	No rhythmic stress	0.5	128.0	South Halmahera - West New Guinea	Austronesian	Phonology
sed	Sedang	5	No rhythmic stress	14.8333333333	108.0	Bahnaric	Austro-Asiatic	Phonology
sru	Selaru	1	Trochaic	-8.2	131.0	Central Malayo-Polynesian	Austronesian	Phonology
sly	Selayar	5	No rhythmic stress	-6.0	120.5	South Sulawesi	Austronesian	Phonology
slp	Selepet	1	Trochaic	-6.16666666667	147.166666667	Huon	Trans-New Guinea	Phonology
skp	Selkup	1	Trochaic	65.0	82.0	Samoyedic	Uralic	Phonology
sml	Semelai	5	No rhythmic stress	3.0	103.0	Aslian	Austro-Asiatic	Phonology
snc	Seneca	2	Iambic	42.5	-77.5	Northern Iroquoian	Iroquoian	Phonology
snt	Sentani	1	Trochaic	-2.58333333333	140.583333333	Sentanic	Sentanic	Phonology
scr	Serbian-Croatian	5	No rhythmic stress	44.0	19.0	Slavic	Indo-European	Phonology
ser	Seri	4	Undetermined	29.0	-112.0	Seri	Hokan	Phonology
shi	Shiriana	2	Iambic	3.5	-62.8333333333	Yanomam	Yanomam	Phonology
skr	Sikaritai	5	No rhythmic stress	-2.91666666667	138.25	East Tariku	Lakes Plain	Phonology
sio	Sio	5	No rhythmic stress	-5.95	147.333333333	Oceanic	Austronesian	Phonology
sla	Slave	5	No rhythmic stress	67.0	-125.0	Athapaskan	Na-Dene	Phonology
svk	Slovak	1	Trochaic	49.0	20.0	Slavic	Indo-European	Phonology
slo	Slovene	5	No rhythmic stress	46.0	15.0	Slavic	Indo-European	Phonology
srb	Sorbian	1	Trochaic	51.5	14.0	Slavic	Indo-European	Phonology
sea	Southeast Ambrym	5	No rhythmic stress	-16.3	168.216666667	Oceanic	Austronesian	Phonology
spa	Spanish	1	Trochaic	40.0	-4.0	Romance	Indo-European	Phonology
squ	Squamish	5	No rhythmic stress	49.6666666667	-123.166666667	Central Salish	Salishan	Phonology
sto	Stoney	5	No rhythmic stress	53.75	-116.5	Mississippi Valley Siouan	Siouan	Phonology
swe	Swedish	5	No rhythmic stress	60.0	15.0	Germanic	Indo-European	Phonology
tab	Taba	1	Trochaic	0.0	127.5	South Halmahera - West New Guinea	Austronesian	Phonology
tac	Tacana	1	Trochaic	-13.5	-68.0	Tacanan	Pano-Tacanan	Phonology
tag	Tagalog	1	Trochaic	15.0	121.0	Greater Central Philippine	Austronesian	Phonology
tah	Tahitian	5	No rhythmic stress	-17.6666666667	-149.583333333	Oceanic	Austronesian	Phonology
tns	Tanna (Southwest)	1	Trochaic	-19.5666666667	169.333333333	Oceanic	Austronesian	Phonology
tgw	Tarangan (West)	1	Trochaic	-6.5	134.166666667	Central Malayo-Polynesian	Austronesian	Phonology
tas	Tashlhiyt	5	No rhythmic stress	31.0	-5.0	Berber	Afro-Asiatic	Phonology
taw	Tawala	1	Trochaic	-10.3333333333	150.666666667	Oceanic	Austronesian	Phonology
tps	Tepehuan (Southeastern)	1	Trochaic	23.0	-104.5	Tepiman	Uto-Aztecan	Phonology
tgk	Tigak	5	No rhythmic stress	-2.71666666667	150.8	Oceanic	Austronesian	Phonology
tmc	Timucua	1	Trochaic	30.25	-82.5	Timucua	Timucua	Phonology
try	Tiruray	1	Trochaic	6.75	124.166666667	Bilic	Austronesian	Phonology
tiw	Tiwi	1	Trochaic	-11.5	131.0	Tiwian	Tiwian	Phonology
tng	Tongan	1	Trochaic	-21.1666666667	-175.166666667	Oceanic	Austronesian	Phonology
tsa	Tsakhur	5	No rhythmic stress	41.6666666667	47.1666666667	Lezgic	Nakh-Daghestanian	Phonology
tua	Tuamotuan	5	No rhythmic stress	-17.0	-144.0	Oceanic	Austronesian	Phonology
tuk	Tukang Besi	1	Trochaic	-5.5	123.5	Celebic	Austronesian	Phonology
tun	Tunica	5	No rhythmic stress	32.6666666667	-91.0	Tunica	Tunica	Phonology
tur	Turkish	5	No rhythmic stress	39.0	35.0	Turkic	Altaic	Phonology
tbb	Tübatulabal	1	Trochaic	36.0	-118.333333333	Northern Uto-Aztecan	Uto-Aztecan	Phonology
tsh	Tümpisa Shoshone	1	Trochaic	37.0	-117.0	Northern Uto-Aztecan	Uto-Aztecan	Phonology
unm	Unami	2	Iambic	40.0	-75.1666666667	Algonquian	Algic	Phonology
ung	Ungarinjin	4	Undetermined	-16.3333333333	126.0	Worrorran	Worrorran	Phonology
urk	Urubú-Kaapor	2	Iambic	-2.33333333333	-46.5	Maweti-Guarani	Tupian	Phonology
uzn	Uzbek (Northern)	1	Trochaic	40.6666666667	66.5	Turkic	Altaic	Phonology
